"id","examiner_details_basic_details_id","examiner_details_qualification_details_id","examiner_details_type","examiner_details_year_id","examiner_details_month_id","examiner_details_recognition_date","examiner_details_rank","examiner_details_status_id","created_at","updated_at","created_by","updated_by"
1,46031,2,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
2,39640,2,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
3,332,2,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
4,36206,2,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
5,37055,2,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
6,13507,2,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
7,30463,2,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
8,18339,2,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
9,43502,2,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
10,37900,2,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
11,23585,2,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
12,41656,2,1,,,,99,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
13,38977,2,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
14,38261,2,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
15,24176,4,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
16,38167,2,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
17,38250,2,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
18,39173,2,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
19,17749,2,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
20,19312,2,1,,,,99,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
21,23628,2,1,,,,2,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
22,21178,2,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
23,25695,2,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
24,22895,2,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
