id,mas_ifsc_number,mas_ifsc_bank_id,mas_ifsc_branch_id,mas_ifsc_code_micr,mas_ifsc_status_id,created_at,updated_at,error_reason
754,ALLA0210659,170,754,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
815,ALLA0210723,170,815,WAITING,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
874,ALLA0210789,170,874,177001002,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
904,ALLA0210820,170,904,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
913,ALLA0210829,170,913,231010520,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
980,ALLA0210896,170,980,262010754,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
986,ALLA0210902,170,986,210010506,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
1060,ALLA0210977,170,1060,226010005,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
1211,ALLA0211143,170,1211,815010510,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
1216,ALLA0211148,170,1216,851010602,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
1301,ALLA0211234,170,1301,276010051,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
1356,ALLA0211289,170,1356,487010503,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
1383,ALLA0211316,170,1383,843010502,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
1471,ALLA0211413,170,1471,210010157,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
1503,ALLA0211458,170,1503,753010503,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
1617,ALLA0211577,170,1617,262010773,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
1632,ALLA0211604,170,1632,721010805,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
1710,ALLA0211683,170,1710,814010502,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
1718,ALLA0211691,170,1718,741010407,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
1723,ALLA0211696,170,1723,755010503,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
1789,ALLA0211770,170,1789,700010532,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
1962,ALLA0211973,170,1962,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
2035,ALLA0212077,170,2035,768010302,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
2146,ALLA0212192,170,2146,273010102,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
2161,ALLA0212207,170,2161,455010001,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
2188,ALLA0212234,170,2188,WAITING,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
