"id","mas_bank_name","mas_bank_status_id","created_at","updated_at","created_by","updated_by"
1,AB Bank PLC,50,,,,
2,Airtel Payments Bank Limited,50,,,,
3,American Express Banking Corporation,50,,,,
4,Andhra Pradesh Grameena Vikas Bank,50,,,,
5,Andhra Pragathi Grameena Bank,50,,,,
6,Arunachal Pradesh Rural Bank,50,,,,
7,Aryavart Bank,50,,,,
8,Assam Gramin Vikash Bank,50,,,,
9,Au Small Finance Bank Limited,50,,,,
10,Australia and New Zealand Banking Group Ltd.,50,,,,
11,Axis Bank Ltd.,50,,,,
12,Bandhan Bank Ltd.,50,,,,
13,Bangiya Gramin Vikas Bank,50,,,,
14,Bank of America,50,,,,
15,Bank of Bahrain & Kuwait BSC,50,,,,
16,Bank of Baroda,50,,,,
17,Bank of Ceylon,50,,,,
18,Bank of China,50,,,,
19,Bank of India,50,,,,
20,Bank of Maharashtra,50,,,,
21,Bank of Nova Scotia,50,,,,
22,Barclays Bank Plc.,50,,,,
23,Baroda Gujarat Gramin Bank,50,,,,
24,Baroda Rajasthan Kshetriya Gramin Bank,50,,,,
25,Baroda UP Bank,50,,,,
26,BNP Paribas,50,,,,
27,Canara Bank,50,,,,
28,Capital Small Finance Bank Limited,50,,,,
29,Central Bank of India,50,,,,
30,Chaitanya Godavari Grameena Bank,50,,,,
31,Chhattisgarh Rajya Gramin Bank,50,,,,
32,Citibank N.A.,50,,,,
33,City Union Bank Ltd.,50,,,,
34,Cooperatieve Rabobank U.A.,50,,,,
35,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK CALY,50,,,,
36,Credit Suisse A.G,50,,,,
37,CSB Bank Ltd.,50,,,,
38,"CTBC Bank Co., Ltd.",50,,,,
39,Dakshin Bihar Gramin Bank,50,,,,
40,DBS Bank India Limited*,50,,,,
41,DCB BANK LIMITED,50,,,,
42,Deutsche Bank,50,,,,
43,DHANALAKSHMI BANK,50,,,,
44,Doha Bank Q.P.S.C,50,,,,
45,Ellaquai Dehati Bank,50,,,,
46,Emirates Bank NBD,50,,,,
47,Equitas Small Finance Bank Limited,50,,,,
48,ESAF Small Finance Bank Limited,50,,,,
49,Federal Bank Ltd.,50,,,,
50,Fino Payments Bank Limited,50,,,,
51,First Abu Dhabi Bank PJSC,50,,,,
52,FIRSTRAND BANK LIMITED,50,,,,
53,HDFC BANK,50,,,,
54,Himachal Pradesh Gramin Bank,50,,,,
55,HSBC BANK,50,,,,
56,ICICI Bank Ltd,50,,,,
57,IDBI Bank Ltd.,50,,,,
58,IDFC First Bank Ltd.,50,,,,
59,India Post Payments Bank Limited,50,,,,
60,Indian Bank,50,,,,
61,Indian Overseas Bank,50,,,,
62,INDUSIND BANK,50,,,,
63,Industrial & Commercial Bank of China Ltd.,50,,,,
64,Industrial Bank of Korea,50,,,,
65,J.P. Morgan Chase Bank N.A.,50,,,,
66,J&K Grameen Bank,50,,,,
67,Jammu & Kashmir Bank Ltd.,50,,,,
68,Jana Small Finance Bank Limited,50,,,,
69,Jharkhand Rajya Gramin Bank,50,,,,
70,JSC VTB Bank,50,,,,
71,KARNATAKA BANK LIMITED,50,,,,
72,Karnataka Gramin Bank,50,,,,
73,Karnataka Vikas Grameena Bank,50,,,,
74,Karur Vysya Bank Ltd.,50,,,,
75,KEB Hana Bank,50,,,,
76,Kerala Gramin Bank,50,,,,
77,Kookmin Bank,50,,,,
78,KOTAK MAHINDRA BANK LIMITED,50,,,,
79,Krung Thai Bank Public Co. Ltd.,50,,,,
80,Madhya Pradesh Gramin Bank,50,,,,
81,Madhyanchal Gramin Bank,50,,,,
82,Maharashtra Gramin Bank,50,,,,
83,Manipur Rural Bank,50,,,,
84,Mashreq Bank PSC,50,,,,
85,Meghalaya Rural Bank,50,,,,
86,Mizoram Rural Bank,50,,,,
87,MIZUHO CORPORATE BANK LIMITED,50,,,,
88,"MUFG Bank, Ltd.",50,,,,
89,Nagaland Rural Bank,50,,,,
90,Nainital Bank Ltd.,50,,,,
91,NatWest Markets Plc,50,,,,
92,NongHyup Bank,50,,,,
93,North East Small Finance Bank Limited,50,,,,
94,Odisha Gramya Bank,50,,,,
95,Paschim Banga Gramin Bank,50,,,,
96,Paytm Payments Bank Limited,50,,,,
97,Prathama UP Gramin Bank,50,,,,
98,PT Bank Maybank Indonesia TBK,50,,,,
99,Puduvai Bharathiar Grama Bank,50,,,,
100,Punjab & Sind Bank,50,,,,
101,Punjab Gramin Bank,50,,,,
102,Punjab National Bank,50,,,,
103,Qatar National Bank (Q.P.S.C.),50,,,,
104,Rajasthan Marudhara Gramin Bank,50,,,,
105,RBL Bank Ltd.,50,,,,
106,Saptagiri Grameena Bank,50,,,,
107,Sarva Haryana Gramin Bank,50,,,,
108,Saurashtra Gramin Bank,50,,,,
109,Sberbank,50,,,,
110,SBM Bank (India) Limited*,50,,,,
111,Shinhan Bank,50,,,,
112,Shivalik Small Finance Bank Limited,50,,,,
113,Societe Generale,50,,,,
114,Sonali Bank PLC,50,,,,
115,South Indian Bank Ltd.,50,,,,
116,Standard Chartered Bank,50,,,,
117,State Bank of India,50,,,,
118,Sumitomo Mitsui Banking Corporation,50,,,,
119,Suryoday Small Finance Bank Limited,50,,,,
120,Tamil Nadu Grama Bank,50,,,,
121,Tamilnad Mercantile Bank Ltd.,50,,,,
122,Telangana Grameena Bank,50,,,,
123,Tripura Gramin Bank,50,,,,
124,UCO Bank,50,,,,
125,Ujjivan Small Finance Bank Limited,50,,,,
126,Union Bank of India,50,,,,
127,United Overseas Bank Ltd,50,,,,
128,Unity Small Finance Bank Limited,50,,,,
129,Utkal Grameen bank,50,,,,
130,Utkarsh Small Finance Bank Limited,50,,,,
131,Uttar Bihar Gramin Bank,50,,,,
132,Uttarakhand Gramin Bank,50,,,,
133,Uttarbanga Kshetriya Gramin Bank,50,,,,
134,Vidharbha Konkan Gramin Bank,50,,,,
135,Woori Bank,50,,,,
136,YES Bank Ltd.,50,,,,
168,ABU DHABI COMMERCIAL BANK,50,,,,
169,ABHYUDAYA COOPERATIVE BANK LIMITED,50,,,,
170,ALLAHABAD BANK,50,,,,
171,ANDHRA BANK,50,,,,
179,BANK OF TOKYO MITSUBISHI LIMITED,50,,,,
181,BASSEIN CATHOLIC COOPERATIVE BANK LIMITED,50,,,,
182,B N P PARIBAS,50,,,,
184,CATHOLIC SYRIAN BANK LIMITED,50,,,,
186,CHINATRUST COMMERCIAL BANK LIMITED,50,,,,
188,CITIZEN CREDIT COOPERATIVE BANK LIMITED,50,,,,
190,CORPORATION BANK,50,,,,
192,DEVELOPMENT BANK OF SINGAPORE,50,,,,
193,DENA BANK,50,,,,
198,DEPOSIT INSURANCE AND CREDIT GUARANTEE CORPORATION,50,,,,
199,DOMBIVLI NAGARI SAHAKARI BANK LIMITED,50,,,,
208,ING VYSYA BANK,50,,,,
