"id","mas_college_stream_id","mas_college_code","mas_college_name","mas_college_exam_centre","mas_college_type","mas_college_status_id","created_at","updated_at","created_by","updated_by","mas_college_UniversityID","mas_college_AffiliationCode","mas_college_ManagementCode","mas_college_AccreditationStatus","mas_college_DateofAccreditation","mas_college_NAACGrade","mas_college_YearofEstablishment","mas_college_state_id","mas_college_district_id","mas_college_taluk_id","temp_district","mas_college_city_id","latitude","longitude","mas_college_is_internal"
1,8,P213,ANJANADRI INSTITUTE OF PHARMACY,1,P,50,,,,,,,,,,,,1,5,1,,1,,,0
2,8,P230,DBAES’S SAGAR COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,3,1,,1,,,0
3,8,P128,DR. N B INSTITUTE OF PHARMACY EDUCATION & RESEARCH INSTITUTE,0,P,50,,,,,,,,,,,,1,10,1,,1,,,0
4,8,P180,SHETTY INSTITUTE OF PHARMACEUTICAL SCIENCES,0,P,50,,,,,,,,,,,,1,17,1,"17",1,,,0
5,8,P001,AL-AMEEN COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,5,1,"4",1,,,0
6,8,P001,DANIGOND COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,1,1,,1,,,0
7,8,P001,SHRI BASAVESHWAR INSTITUTE OF PHARMACY,0,P,50,,,,,,,,,,,,1,13,1,,1,,,0
8,8,P003,GOVERNMENT COLLEGE OF PHARMACY,0,G,50,,,,,,,,,,,,1,5,1,"4",1,,,0
9,8,P004,GAUTHAM COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,5,1,"4",1,,,0
10,8,P005,OXBRIDGE COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,5,1,"4",1,,,0
11,8,P006,KRUPANIDHI COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,5,1,"4",1,,,0
12,8,P012,ST. JOHN’S PHARMACY COLLEGE,0,P,50,,,,,,,,,,,,1,5,1,,1,,,0
13,8,P013,VISVESWARAPURA INSTITUTE OF PHARMACEUTICAL SCIENCES,0,P,50,,,,,,,,,,,,1,5,1,"4",1,,,0
14,8,P014,VIVEKANANDA COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,5,1,"4",1,,,0
15,8,P015,M M U COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,24,1,,1,,,0
16,8,P016,DR. H.L. THIMMEGOWDA COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,24,1,"24",1,,,0
17,8,P018,THE OXFORD COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,4,1,"4",1,,,0
18,8,P019,SRI K V COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,4,1,,1,,,0
19,8,P020,SREE SIDDAGANGA COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,26,1,"26",1,,,0
20,8,P022,MARATHA MANDAL’S COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,3,1,,1,,,0
21,8,P025,SONIYA EDUCATION TRUST’S COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,13,1,"13",1,,,0
22,8,P026,BLDEA’S SHRI SANGANABASAVA MAHASWAMIJI COLLEGE OF PHARMACY & RESEARCH CENTRE,0,P,50,,,,,,,,,,,,1,29,1,,1,,,0
23,8,P027,BVVS HANAGAL SHRI KUMARESHWARA COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,1,1,"1",1,,,0
24,8,P029,FAROOQIA COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,22,1,"22",1,,,0
25,8,P030,BHARATHI COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,21,1,"21",1,,,0
26,8,P034,NATIONAL COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,25,1,"25",1,,,0
27,8,P035,S J M COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,10,1,,1,,,0
28,8,P036,BAPUJI PHARMACY COLLEGE,0,P,50,,,,,,,,,,,,1,12,1,"12",1,,,0
29,8,P037,HKES’S MATOSHREE TARADEVI RAMPURE INSTITUTE OF PHARMACEUTICAL SCIENCES,0,P,50,,,,,,,,,,,,1,17,1,"17",1,,,0
30,8,P038,LUQMAN COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,17,1,"17",1,,,0
31,8,P040,RAJIV MEMORIAL EDUCATION SOCIETY’S COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,17,1,"17",1,,,0
32,8,P041,SVET COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,6,1,"6",1,,,0
33,8,P042,V L COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,23,1,,1,,,0
34,8,P043,TOGARI VEERAMALLAPPPA COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,2,1,,1,,,0
35,8,P044,TMAE SOCIETY’S SCS COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,12,1,,1,,,0
36,8,P045,BASAVESHWARA COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,6,1,"6",1,,,0
37,8,P046,N.E.T. PHARMACY COLLEGE,0,P,50,,,,,,,,,,,,1,23,1,,1,,,0
38,8,P047,"KARNATAKA COLLEGE OF PHARMACY,BIDAR",0,P,50,,,,,,,,,,,,1,6,1,"6",1,,,0
39,8,P048,RRK SAMITHI’S COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,6,1,"6",1,,,0
40,8,P050,NARGUND COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,5,1,"4",1,,,0
41,8,P051,MES COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,5,1,"4",1,,,0
42,8,P052,ACHARYA B.M. REDDY COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,5,1,,1,,,0
43,8,P053,"KCT COLLEGE OF PHARMACY, GULBARGA",0,P,50,,,,,,,,,,,,1,17,1,"17",1,,,0
44,8,P054,"KLE SOCIETY’S COLLEGE OF PHARMACY,BELGUM",0,P,50,,,,,,,,,,,,1,3,3,"3",1,,,0
45,8,P056,SRINIVASA COLLEGE OF PHARMACY,0,P,50,,,,,,,,,,,,1,11,1,,1,,,0
46,8,P057,"KLE SOCIETY’S COLLEGE OF PHARMACY,GADAG",0,P,50,,,,,,,,,,,,1,14,1,"14",1,,,0
