id,mas_ifsc_number,mas_ifsccode_bank_id,mas_ifsc_code_micr
1,ADCB0000001,168,400269002
2,ADCB0000002,168,560269002
3,ABHY0065001,169,
4,ABHY0065002,169,400065002
5,ABHY0065003,169,400065003
6,ABHY0065004,169,400065004
7,ABHY0065005,169,400065005
8,ABHY0065006,169,400065006
9,ABHY0065007,169,400065007
10,ABHY0065008,169,400065008
11,ABHY0065009,169,400065009
12,ABHY0065010,169,400065010
13,ABHY0065011,169,400065011
14,ABHY0065012,169,400065012
15,ABHY0065013,169,400065013
16,ABHY0065014,169,400065014
17,ABHY0065015,169,400065015
18,ABHY0065016,169,400065016
19,ABHY0065017,169,400065017
20,ABHY0065018,169,400065018
21,ABHY0065019,169,400065019
22,ABHY0065020,169,400065020
23,ABHY0065021,169,400065021
24,ABHY0065022,169,400065022
25,ABHY0065023,169,400065023
26,ABHY0065024,169,400065024
27,ABHY0065025,169,400065025
28,ABHY0065026,169,400065026
29,ABHY0065027,169,400065027
30,ABHY0065028,169,400065028
31,ABHY0065029,169,400065029
32,ABHY0065030,169,400065030
33,ABHY0065031,169,400065031
34,ABHY0065032,169,400065032
35,ABHY0065034,169,400065034
36,ABHY0065035,169,400065035
37,ABHY0065036,169,400065036
38,ABHY0065037,169,400065037
39,ABHY0065038,169,400065038
40,ABHY0065039,169,400065039
41,ABHY0065040,169,400065040
42,ABHY0065041,169,400065041
43,ABHY0065042,169,400065042
44,ABHY0065043,169,400065043
45,ABHY0065044,169,400065044
46,ABHY0065045,169,400065045
47,ABHY0065046,169,400065046
48,ABHY0065047,169,400065047
49,ABHY0065048,169,400065048
50,ABHY0065049,169,400065049
51,ABHY0065050,169,400065050
52,ABHY0065051,169,400065051
53,ABHY0065052,169,400065052
54,ABHY0065053,169,400065053
55,ABHY0065054,169,400065054
56,ABHY0065055,169,400065055
57,ABHY0065056,169,400065056
58,ABHY0065057,169,400065057
59,ABHY0065058,169,400065058
60,ABHY0065059,169,400065059
61,ABHY0065060,169,400065060
62,ABHY0065061,169,400065061
63,ABHY0065062,169,400065062
64,ABHY0065063,169,400065063
65,ABHY0065064,169,400065064
66,ABHY0065065,169,400065065
67,ABHY0065066,169,400065066
68,ABHY0065067,169,400065067
69,ABHY0065068,169,400065068
70,ABHY0065069,169,400065069
71,ABHY0065070,169,400065070
72,ABHY0065071,169,400065071
73,ABHY0065072,169,400065072
74,ABHY0065073,169,400065073
75,ABHY0065074,169,400065074
76,ABHY0065075,169,400065075
77,ABHY0065076,169,400065076
78,ABHY0065077,169,402065051
79,ABHY0065101,169,NA
80,ABHY0065102,169,411065002
81,ABHY0065103,169,411065003
82,ABHY0065104,169,411065004
83,ABHY0065105,169,411065006
84,ABHY0065106,169,411065007
85,ABHY0065107,169,411065008
86,ABHY0065108,169,411065011
87,ABHY0065109,169,411065012
88,ABHY0065110,169,411065013
89,ABHY0065111,169,411065015
90,ABHY0065112,169,440211251
91,ABHY0065113,169,431065003
92,ABHY0065114,169,416065501
93,ABHY0065115,169,422065002
94,ABHY0065116,169,411065016
95,ABHY0065117,169,422065003
96,ABHY0065118,169,422065004
97,ABHY0065119,169,431065004
98,ABHY0065120,169,431065102
99,ABHY0065121,169,440211252
100,ABHY0065122,169,411065017
101,ABHY0065123,169,431065103
102,ABHY0065124,169,422065005
103,ABHY0065125,169,422065006
